date,state,lat_1,u_1,lat_2,u_2,interjet_min
2019-07-13,double,41.0,23.233103145252574,62.25,16.259659160267223,7.401976065202192
2019-07-14,double,39.25,28.115555329756305,66.25,19.444471185857598,1.564626617865129
2019-07-15,single,38.75,23.444869648326527,,,
2019-07-16,double,36.25,20.627831025557086,51.75,20.965966311368074,14.706753817471592
2019-07-17,single,50.25,23.720440257679332,,,
2019-07-18,double,32.0,16.304892800071023,47.5,25.548162286931817,10.95340312610973
2019-07-19,single,47.5,27.15046605196866,,,
2019-07-20,single,48.25,29.78464837507768,,,
2019-07-21,single,49.0,24.021143999966707,,,
2019-07-22,single,50.0,19.732643474232066,,,
2019-07-23,single,47.75,23.284731431440875,,,
2019-07-24,single,51.5,22.77110342545943,,,
2019-07-25,single,50.5,26.131826053966176,,,
2019-07-26,single,49.25,28.787169196388938,,,
2019-07-27,single,42.0,24.891248529607598,,,
2019-07-28,single,41.0,24.543528990312055,,,
2019-07-29,single,42.75,20.972061330621894,,,
2019-07-30,single,42.0,21.09259622747248,,,
2019-07-31,single,49.75,19.050571961836383,,,
2019-08-01,single,45.5,21.546532370827414,,,
2019-08-02,single,44.25,23.32671512256969,,,
2019-08-03,single,47.5,29.25914140181108,,,
2019-08-04,single,47.25,28.88895017450506,,,
2019-08-05,single,47.75,28.565174449573863,,,
2019-08-06,single,46.0,29.002601970325816,,,
2019-08-07,single,42.5,28.579750407825816,,,
2019-08-08,single,41.5,28.502757852727715,,,
2019-08-09,single,43.5,24.325002150102094,,,
2019-08-10,single,48.75,27.48800416426225,,,
2019-08-11,single,51.0,31.156756661155008,,,
2019-08-12,single,49.0,27.766990661621094,,,
2019-08-13,single,49.75,33.160374728116125,,,
2019-08-14,single,49.0,33.67969235506925,,,
2019-08-15,single,47.75,35.22678687355735,,,
2019-08-16,single,47.5,36.56843879006126,,,
2019-08-17,single,46.5,36.78262849287553,,,
2019-08-18,single,44.25,31.29689667441628,,,
2019-08-19,single,43.75,29.630510156804863,,,
2019-08-20,single,53.75,32.82566452026367,,,
2019-08-21,single,53.5,30.281916878440164,,,
2019-08-22,single,53.0,26.742741671475496,,,
2019-08-23,double,49.75,25.62390275435014,59.75,27.656032388860528,20.452862999655984
2019-08-24,single,60.25,24.956674229015004,,,
2019-08-25,single,63.5,23.206879182295367,,,
2019-08-26,double,44.25,16.10558743910356,68.0,19.23019790649414,8.176262638785623
2019-08-27,double,45.75,16.71068625016646,62.5,16.446884502064098,10.577543171969326
2019-08-28,single,54.5,19.461152163418856,,,
2019-08-29,single,55.25,30.718203804709695,,,
2019-08-30,single,58.75,29.71262671730735,,,
2019-08-31,double,32.25,15.322099685668945,54.75,24.488381819291547,-0.2941606246273626
2019-09-01,double,30.0,16.417786858298562,54.75,27.491228797219016,0.600454262711785
2019-09-02,double,29.5,16.419672445817426,56.25,29.981999137184836,2.6300701878287573
2019-09-03,double,30.5,15.56535512750799,56.0,30.039124402132902,1.98720337044109
2019-09-04,double,30.25,16.48490923101252,58.0,26.163537112149324,0.49867379800839856
2019-09-05,double,30.0,16.03369071266868,58.5,31.43697114424272,4.951223330064253
2019-09-06,single,55.25,24.679859508167613,,,
2019-09-07,single,51.0,21.9864765514027,,,
2019-09-08,double,28.75,15.083187276666814,56.5,21.101212935014203,2.7477798245169898
2019-09-09,single,47.0,22.304424979469992,,,
2019-09-10,double,29.75,16.36815712668679,50.5,24.760068373246625,3.1570239717310127
2019-09-11,double,29.5,15.333446849476207,54.75,33.900236649946734,-0.8166611573912881
2019-09-12,single,56.75,38.03430037064986,,,
2019-09-13,double,32.0,16.669918580488726,56.75,41.39933603460138,1.3563020337711682
2019-09-14,single,58.25,43.72375765713778,,,
2019-09-15,single,59.0,52.981604142622515,,,
2019-09-16,double,35.75,18.304781653664328,58.5,41.61324969204989,-3.374350656162609
2019-09-17,double,35.5,20.649978637695312,62.5,25.617597406560723,4.154222358356822
2019-09-18,double,39.0,23.445970708673652,67.25,24.889375339854848,11.920154138044877
2019-09-19,double,44.75,26.597034974531695,69.5,28.824704083529387,4.582512291994962
2019-09-20,double,43.0,24.577325994318183,70.25,33.403202056884766,4.703518824143843
2019-09-21,double,42.5,23.471854990178887,69.0,22.553979180075906,4.7265212752602315
2019-09-22,single,42.5,26.38382807644931,,,
2019-09-23,single,45.5,29.47659093683416,,,
2019-09-24,single,48.75,33.72704003073952,,,
2019-09-25,single,49.25,33.85106832330877,,,
2019-09-26,single,48.75,34.52970504760742,,,
2019-09-27,single,48.25,32.688537944446914,,,
2019-09-28,single,46.75,34.437376889315516,,,
2019-09-29,single,48.5,32.262699994173914,,,
2019-09-30,single,47.0,32.43091895363548,,,
2020-05-01,single,46.0,29.904130935668945,,,
2020-05-02,single,49.0,24.32064437866211,,,
2020-05-03,double,32.0,21.352062051946465,62.25,21.000118949196555,14.213297323747115
2020-05-04,double,35.0,28.141868938099254,67.5,25.89086255160245,4.9557530229741875
2020-05-05,double,39.5,24.992081728848543,66.25,34.82289435646751,-7.333919265053489
2020-05-06,double,40.5,33.461971976540305,65.5,30.10955082286488,-14.885116317055441
2020-05-07,double,39.5,27.857969630848277,65.75,30.51133901422674,-5.074720165946267
2020-05-08,double,38.25,23.57717687433416,65.25,26.032208702780984,-1.4773603013970635
2020-05-09,double,39.75,28.32344766096635,66.0,21.123932578346945,2.939542293548584
2020-05-10,double,38.25,32.82082401622426,71.75,26.206256172873758,7.220878687771884
2020-05-11,double,38.75,36.50186261263761,71.75,19.73723168806596,4.873709201812744
2020-05-12,single,41.75,38.69968865134499,,,
2020-05-13,single,38.5,30.43448864329945,,,
2020-05-14,single,34.75,27.01438400962136,,,
2020-05-15,single,45.25,22.81161290949041,,,
2020-05-16,single,46.5,27.493541023947976,,,
2020-05-17,single,47.75,27.08829550309615,,,
2020-05-18,double,39.75,21.72002566944469,54.75,24.140290173617277,15.805185317993164
2020-05-19,double,40.25,29.341721274636008,54.5,19.645524285056375,13.93012723055753
2020-05-20,single,40.5,34.06677107377486,,,
2020-05-21,single,40.75,26.746581857854668,,,
2020-05-22,double,22.25,20.91294305974787,49.25,30.14226549321955,13.016297600486062
2020-05-23,double,23.5,20.99049152027477,46.0,32.770142641934484,4.2477287812666455
2020-05-24,double,24.75,18.580675645308062,43.75,28.343774101950906,5.591187953948975
2020-05-25,double,24.0,18.60131697221236,55.0,17.201032118363813,11.85909435965798
2020-05-26,double,24.5,18.953617095947266,59.75,23.439973310990766,5.770067518407648
2020-05-27,double,27.5,21.92601186578924,57.5,21.449399081143465,4.674567612734708
2020-05-28,double,26.75,23.26114099675959,69.25,18.16450275074352,6.166293230923739
2020-05-29,single,27.5,23.407624331387606,,,
2020-05-30,double,23.75,24.96918470209295,58.5,15.84616400978782,7.790042833848433
2020-05-31,double,23.0,23.281436226584695,58.0,18.884350169788707,0.9040337638421492
2020-06-01,double,25.25,22.317797920920633,63.0,21.745500044389203,-0.986590944907882
2020-06-02,double,31.5,23.207263252951883,66.0,28.31816864013672,-1.6416656645861538
2020-06-03,double,32.0,25.39863256974654,68.25,32.77474854209206,-0.24308772198855877
2020-06-04,double,29.5,23.89102554321289,67.75,21.97371586886319,4.375862208279696
2020-06-05,double,23.5,22.843645269220527,51.0,20.377141779119317,10.34601506319913
2020-06-06,double,23.75,23.488155885176226,50.0,24.240999568592418,12.016940637068315
2020-06-07,double,24.75,23.327035210349344,52.0,20.236712195656516,13.908830035816539
2020-06-08,double,25.25,23.075776360251687,56.0,25.247088865800336,6.239821390672163
2020-06-09,double,27.5,26.16023202375932,59.0,21.217419364235617,1.1190617192875256
2020-06-10,single,28.75,27.691126910122957,,,
2020-06-11,single,28.25,24.66288254477761,,,
2020-06-12,double,30.0,20.07306445728649,60.75,16.22390296242454,1.6417469869960437
2020-06-13,double,30.25,19.13421665538441,59.75,16.00714986974543,0.10037258572199127
2020-06-14,double,30.5,18.417809573086824,64.75,18.8162767236883,3.4534946354952725
2020-06-15,single,31.25,19.877552379261363,,,
2020-06-16,single,36.75,19.811888087879527,,,
2020-06-17,single,36.25,21.574013103138316,,,
2020-06-18,double,37.0,22.250843568281695,72.25,18.638236826116387,0.380804069086232
2020-06-19,single,46.75,24.25841452858665,,,
2020-06-20,single,47.75,28.047060012817383,,,
2020-06-21,double,31.25,21.766218532215465,49.5,30.307878494262695,11.815126765858043
2020-06-22,double,32.0,18.20638673955744,53.0,21.39077273282138,9.005559487776322
2020-06-23,double,30.25,17.092853199351918,52.25,18.9453331340443,9.538124517960982
2020-06-24,double,29.75,17.0580057664351,55.0,18.04860479181463,8.399422818964178
2020-06-25,double,29.25,16.165576934814453,56.75,17.80168949473988,8.02264217896895
2020-06-26,double,53.75,16.98362263766202,68.0,17.30711590160023,8.538386171514338
2020-06-27,single,50.75,29.41890352422541,,,
2020-06-28,single,50.5,27.34648860584606,,,
2020-06-29,single,49.0,28.507788051258434,,,
2020-06-30,single,48.0,26.4460993680087,,,
2020-07-01,single,54.0,28.33747777071866,,,
2020-07-02,single,53.75,34.410616094415836,,,
2020-07-03,single,53.75,34.34463951804421,,,
2020-07-04,single,51.75,36.111662431196734,,,
2020-07-05,single,53.0,42.894670659845524,,,
2020-07-06,double,31.0,15.745487473227762,54.75,33.94693097201261,2.0330629023638638
2020-07-07,double,34.25,15.550251700661399,55.5,32.19340619173917,10.000297893177379
2020-07-08,double,37.0,17.040334007956766,53.25,30.327491413463246,7.6553685014898125
2020-07-09,double,36.5,18.0766807902943,52.25,29.74441771073775,5.831834706393155
2020-07-10,double,35.25,18.700349460948598,51.75,21.782982912930574,9.56365593996915
2020-07-11,double,36.0,20.256682656028055,60.0,22.592206087979402,10.21767789667303
2020-07-12,double,35.25,19.748190793124113,59.75,25.211698705499824,10.28466744856401
2020-07-13,double,35.25,17.70766691728072,61.25,27.681668541648172,8.929172429171475
